dt,price,change,change_percent,volume
2023-01-03 16:00:00,3.49,0.0,0.0,7668027.0
2023-01-04 16:00:00,3.64,0.15,0.043,4858879.0
2023-01-05 16:00:00,3.66,0.17,0.0487,5262860.0
2023-01-06 16:00:00,3.69,0.2,0.0573,4090692.0
2023-01-09 16:00:00,3.91,0.42,0.1203,10357731.0
2023-01-10 16:00:00,4.03,0.54,0.1547,7897886.0
2023-01-11 16:00:00,4.29,0.8,0.2292,8752365.0
2023-01-12 16:00:00,4.62,1.13,0.3238,15111957.0
2023-01-13 16:00:00,5.19,1.7,0.4871,46228829.0
2023-01-17 16:00:00,5.59,2.1,0.6017,20166082.0
2023-01-18 16:00:00,4.91,1.42,0.4069,18005284.0
2023-01-19 16:00:00,4.86,1.37,0.3926,11084987.0
2023-01-20 16:00:00,5.19,1.7,0.4871,10409432.0
2023-01-23 16:00:00,5.31,1.82,0.5215,9572945.0
2023-01-24 16:00:00,5.32,1.83,0.5244,9849540.0
2023-01-25 16:00:00,5.36,1.87,0.5358,5534913.0
2023-01-26 16:00:00,5.38,1.89,0.5415,6466540.0
2023-01-27 16:00:00,5.71,2.22,0.6361,11037191.0
2023-01-30 16:00:00,5.38,1.89,0.5415,7478069.0
2023-01-31 16:00:00,5.52,2.03,0.5817,6071474.0
2023-02-01 16:00:00,5.62,2.13,0.6103,7732462.0
2023-02-02 16:00:00,6.34,2.85,0.8166,20903003.0
2023-02-03 16:00:00,6.08,2.59,0.7421,13075853.0
2023-02-06 16:00:00,5.94,2.45,0.702,15509593.0
2023-02-07 16:00:00,5.95,2.46,0.7049,11044958.0
2023-02-08 16:00:00,5.57,2.08,0.596,7508485.0
2023-02-09 16:00:00,5.18,1.69,0.4842,9413881.0
2023-02-10 16:00:00,4.98,1.49,0.4269,7658259.0
2023-02-13 16:00:00,5.17,1.68,0.4814,7011923.0
2023-02-14 16:00:00,5.29,1.8,0.5158,7443817.0
2023-02-15 16:00:00,6.01,2.52,0.7221,13424949.0
2023-02-16 16:00:00,5.98,2.49,0.7135,16184071.0
2023-02-17 16:00:00,6.37,2.88,0.8252,12492435.0
2023-02-21 16:00:00,5.75,2.26,0.6476,9965061.0
2023-02-22 16:00:00,5.79,2.3,0.659,7767046.0
2023-02-23 16:00:00,5.76,2.27,0.6504,8534340.0
2023-02-24 16:00:00,5.48,1.99,0.5702,5737821.0
2023-02-27 16:00:00,5.5,2.01,0.5759,8675552.0
2023-02-28 16:00:00,5.74,2.25,0.6447,9911720.0
2023-03-01 16:00:00,4.73,1.24,0.3553,18461814.0
2023-03-02 16:00:00,5.14,1.65,0.4728,11817593.0
2023-03-03 16:00:00,5.5,2.01,0.5759,11241951.0
2023-03-06 16:00:00,5.41,1.92,0.5501,7699815.0
2023-03-07 16:00:00,5.31,1.82,0.5215,6220768.0
2023-03-08 16:00:00,5.41,1.92,0.5501,5426836.0
2023-03-09 16:00:00,5.1,1.61,0.4613,7161981.0
2023-03-10 16:00:00,4.98,1.49,0.4269,8709396.0
2023-03-13 16:00:00,5.08,1.59,0.4556,7759658.0
2023-03-14 16:00:00,5.0,1.51,0.4327,5673844.0
2023-03-15 16:00:00,4.63,1.14,0.3266,9286162.0
2023-03-16 16:00:00,4.59,1.1,0.3152,11315250.0
2023-03-17 16:00:00,4.16,0.67,0.192,11203276.0
2023-03-20 16:00:00,4.1,0.61,0.1748,6039761.0
2023-03-21 16:00:00,4.12,0.63,0.1805,7727199.0
